cpu_percent,memory_percent,current_time
23.1,73.5,2019-09-20 18:52:40.880861
24.4,74.1,2019-09-20 18:52:45.884203
20.8,73.3,2019-09-20 18:52:50.885072
19.1,73.2,2019-09-20 18:52:55.887895
18.8,73.1,2019-09-20 18:53:00.891352
19.7,72.8,2019-09-20 18:53:05.893226
18.6,72.8,2019-09-20 18:53:10.895003
17.9,73.0,2019-09-20 18:53:15.896750
19.7,73.2,2019-09-20 18:53:20.900930
17.0,74.5,2019-09-20 18:53:25.902019
11.6,73.2,2019-09-20 18:53:30.902459
15.0,73.7,2019-09-20 18:53:35.903069
20.8,74.3,2019-09-20 18:53:40.905665
25.7,73.7,2019-09-20 18:53:45.906097
20.2,73.6,2019-09-20 18:53:50.915140
19.2,73.6,2019-09-20 18:53:55.918788
16.8,73.6,2019-09-20 18:54:00.922032
21.6,73.8,2019-09-20 18:54:05.923827
19.7,73.9,2019-09-20 18:54:10.924576
22.1,73.1,2019-09-20 18:54:15.929418
24.5,74.0,2019-09-20 18:54:20.930410
22.7,73.6,2019-09-20 18:54:25.933617
21.2,73.7,2019-09-20 18:54:30.934386
20.8,73.7,2019-09-20 18:54:35.937052
18.8,73.7,2019-09-20 18:54:40.937897
18.6,73.6,2019-09-20 18:54:45.938651
20.2,73.6,2019-09-20 18:54:50.939155
21.2,75.1,2019-09-20 18:54:55.939670
23.8,74.9,2019-09-20 18:55:00.942904
23.7,74.8,2019-09-20 18:55:05.946100
