CPU,MEM,TimeStamp
7.8,80.2,2019-09-21 13:16:23.326495
9.8,79.9,2019-09-21 13:16:28.331654
12.2,80.7,2019-09-21 13:16:33.335040
11.7,81.0,2019-09-21 13:16:38.336469
10.3,80.3,2019-09-21 13:16:43.340157
10.6,80.4,2019-09-21 13:16:48.344745
9.8,80.3,2019-09-21 13:16:53.350166
10.5,80.6,2019-09-21 13:16:58.353509
11.2,80.3,2019-09-21 13:17:03.357457
10.0,80.1,2019-09-21 13:17:08.358063
11.1,80.3,2019-09-21 13:17:13.359702
8.5,80.1,2019-09-21 13:17:18.365124
7.4,79.5,2019-09-21 13:17:23.367284
10.7,79.6,2019-09-21 13:17:28.368128
9.6,79.6,2019-09-21 13:17:33.372964
6.5,79.6,2019-09-21 13:17:38.378162
11.3,79.9,2019-09-21 13:17:43.383654
11.4,79.6,2019-09-21 13:17:48.389480
10.0,80.3,2019-09-21 13:17:53.395256
4.4,79.7,2019-09-21 13:17:58.401040
11.1,81.3,2019-09-21 13:18:03.406402
11.0,81.6,2019-09-21 13:18:08.409899
11.0,81.1,2019-09-21 13:18:13.412122
4.7,80.2,2019-09-21 13:18:18.415844
10.1,80.2,2019-09-21 13:18:23.421785
6.0,80.3,2019-09-21 13:18:28.427071
13.8,81.0,2019-09-21 13:18:33.429788
7.1,80.9,2019-09-21 13:18:38.433679
4.0,80.3,2019-09-21 13:18:43.434483
4.2,79.7,2019-09-21 13:18:48.436622
